"player_id","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","total_points","in_dreamteam","gameweek"
"560","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"561","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"562","2","0","0","0","0","0","0","0","0","0","0","0","4","4.2","10.0","2.0","1.6","0","0.00","0.00","0.00","0.00","1","FALSE",1
"563","90","0","0","0","1","0","0","0","0","0","0","0","11","34.6","10.8","21.0","6.6","1","0.03","0.03","0.06","1.46","2","FALSE",1
"564","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"565","90","0","0","0","1","0","0","0","1","0","0","0","11","10.2","3.3","9.0","2.3","1","0.10","0.01","0.11","1.46","1","FALSE",1
"566","90","0","0","0","1","0","0","0","0","0","0","0","10","24.6","27.8","2.0","5.4","1","0.00","0.08","0.08","1.46","2","FALSE",1
"567","90","0","0","0","1","0","0","0","1","0","0","0","19","20.0","65.4","46.0","13.1","1","0.79","0.35","1.14","1.46","1","FALSE",1
"568","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"569","90","0","0","0","1","0","0","0","0","0","2","0","12","19.0","0.0","0.0","1.9","1","0.00","0.00","0.00","1.46","2","FALSE",1
"570","62","0","0","1","0","0","0","0","0","0","0","0","6","11.0","35.0","9.0","5.5","1","0.06","0.30","0.36","0.74","3","FALSE",1
"571","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"572","90","0","0","0","1","0","0","0","0","0","0","0","17","27.6","17.3","2.0","4.7","1","0.00","0.13","0.13","1.46","2","FALSE",1
"573","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"574","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"575","90","0","0","0","4","0","0","0","0","0","0","0","10","13.6","0.1","0.0","1.4","1","0.00","0.01","0.01","4.10","0","FALSE",1
"576","79","0","0","0","1","0","0","0","0","0","0","0","10","17.2","0.6","2.0","2.0","1","0.00","0.00","0.00","1.80","2","FALSE",1
"577","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"578","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"579","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"580","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"581","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"582","87","0","0","0","3","0","0","0","0","0","0","0","-2","0.0","0.3","12.0","1.0","1","0.26","0.00","0.26","2.88","2","FALSE",1
"583","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"584","59","0","0","0","3","0","0","0","0","0","0","0","12","18.2","12.6","0.0","3.1","0","0.00","0.02","0.02","2.36","0","FALSE",1
"585","49","0","0","0","0","0","0","0","1","0","0","0","3","3.6","2.4","0.0","0.6","1","0.00","0.01","0.01","0.28","0","FALSE",1
"586","87","0","0","0","3","0","0","0","0","0","0","0","4","5.2","1.8","2.0","0.9","1","0.00","0.01","0.01","2.88","2","FALSE",1
"587","10","0","0","0","0","0","0","0","1","0","0","0","-2","0.0","0.0","4.0","0.3","0","0.00","0.00","0.00","0.21","0","FALSE",1
"588","90","0","0","0","1","0","0","0","0","0","0","0","10","10.2","9.8","0.0","2.0","1","0.00","0.10","0.10","1.50","2","FALSE",1
"589","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"590","76","0","0","0","1","0","0","0","0","0","0","0","3","7.2","11.7","24.0","4.3","1","0.49","0.03","0.52","1.18","2","FALSE",1
