"chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","now_cost_rank","now_cost_rank_type","form_rank","form_rank_type","points_per_game_rank","points_per_game_rank_type","selected_rank","selected_rank_type","starts_per_90","clean_sheets_per_90"
,,61558,0,0,0,0,0,3,"2.1",,0,"Thiago","0.0",310,FALSE,"",,50,"61558.jpg","1.7","Alcántara do Nascimento","0.2",FALSE,,"a",11,14,30,0,0,0,0,"0.0","6.0","Thiago",1252,0,0,2,23,0,0,0,2,0,0,0,194,"244.4","265.8","86.0","59.8",14,"0.46","1.18","1.64","21.41",220,101,118,82,233,123,204,100,,"",,"",,"",0.03,0,0.08,0.11,1.54,1.65,159,99,329,77,296,126,384,119,1.01,0.14
,,214285,0,0,0,0,0,2,"2.5",,0,"Konstantinos","0.0",311,FALSE,"",,45,"214285.jpg","2.4","Tsimikas","0.2",FALSE,,"a",11,14,48,0,0,0,0,"0.0","10.7","Tsimikas",762,0,4,4,11,0,0,0,3,0,0,2,216,"183.2","298.3","124.0","60.7",9,"0.68","1.30","1.98","14.45",254,100,107,21,195,50,203,66,3,"",,"",,"",0.08,0,0.15,0.23,1.71,1.3,389,103,203,127,204,79,409,160,1.06,0.47
0,,444765,0,0,0,0,0,2,"0.0",,0,"Sepp","0.0",312,FALSE,"Season long loan to Mainz 05","2023-07-17T06:21:35.145355Z",40,"444765.jpg","0.0","van den Berg","0.4",FALSE,,"u",11,14,0,0,0,0,0,"0.0","0.0","Van den Berg",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",445,168,437,168,422,167,447,168,,"",,"",,"",0,0,0,0,0,0,583,190,85,47,451,169,276,93,0,0
,,97032,0,0,0,0,0,2,"3.4",,0,"Virgil","0.0",313,FALSE,"",,60,"97032.jpg","4.0","van Dijk","8.6",FALSE,,"a",11,14,127,0,0,0,0,"0.0","21.2","Virgil",2835,3,1,11,36,0,0,0,3,0,0,13,636,"743.2","121.0","389.0","125.4",32,"2.50","1.09","3.59","41.17",32,7,206,58,83,5,80,11,,"",,"",,"",0.08,0,0.03,0.11,1.31,1.14,60,4,528,196,49,8,45,14,1.02,0.35
,,184704,0,0,0,0,0,3,"0.5",,0,"Marvelous","0.0",52,FALSE,"",,45,"184704.jpg","0.0","Nakamba","0.9",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Nakamba",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",479,188,478,190,468,185,481,188,,"",,"",,"",0,0,0,0,0,0,366,200,180,15,484,191,176,62,0,0
,,174310,0,0,0,0,0,4,"0.9",,0,"Elijah","0.0",314,FALSE,"",,50,"174310.jpg","0.0","Adebayo","1.4",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Adebayo",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",560,57,559,57,557,58,561,58,,"",,"",2,"",0,0,0,0,0,0,207,43,377,23,561,58,145,30,0,0
,,208904,0,0,0,0,0,2,"0.5",,0,"Mads Juel","0.0",315,FALSE,"",,40,"208904.jpg","0.0","Andersen","0.9",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Andersen",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",420,152,410,151,394,149,422,152,,"",,"",,"",0,0,0,0,0,0,551,168,53,25,426,153,174,56,0,0
,,165183,0,0,0,0,0,2,"0.5",,0,"Amari'i","0.0",316,FALSE,"",,40,"165183.jpg","0.0","Bell","20.1",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Bell",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",412,147,401,146,384,143,414,147,,"",,"",,"",0,0,0,0,0,0,538,159,40,16,418,148,18,7,0,0
,,82738,0,0,0,0,0,3,"1.1",,0,"Luke","0.0",317,FALSE,"",,50,"82738.jpg","0.0","Berry","0.1",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Berry",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",551,228,549,228,544,227,552,228,,"",3,"",,"",0,0,0,0,0,0,163,103,333,81,552,228,440,136,0,0
,,156658,0,0,0,0,0,2,"0.5",,0,"Reece","0.0",318,FALSE,"",,40,"156658.jpg","0.0","Burke","0.3",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Burke",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",410,146,399,145,382,142,412,146,,"",,"",,"",0,0,0,0,0,0,536,158,38,15,416,147,323,116,0,0
,,193195,0,0,0,0,0,3,"1.1",,0,"Allan","0.0",319,FALSE,"",,50,"193195.jpg","0.0","Campbell","0.1",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Campbell",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",563,238,562,238,560,238,564,238,,"",,"",,"",0,0,0,0,0,0,216,141,386,119,564,238,502,165,0,0
,,96784,0,0,0,0,0,3,"1.1",,0,"Jordan","0.0",320,FALSE,"",,50,"96784.jpg","0.0","Clark","0.1",FALSE,,"a",12,102,0,0,0,0,0,"0.0","0.0","Clark",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",552,229,550,229,545,228,553,229,2,"",1,"",,"",0,0,0,0,0,0,171,109,341,87,553,229,488,156,0,0
