"chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","region","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","now_cost_rank","now_cost_rank_type","form_rank","form_rank_type","points_per_game_rank","points_per_game_rank_type","selected_rank","selected_rank_type","starts_per_90","clean_sheets_per_90"
100,100,50175,1,-1,5,-5,1,4,"4.7","3.7",2,"Danny","4.7",148,TRUE,"","2024-10-19T17:00:05.582252Z",60,"50175.jpg","5.8","Welbeck","21.4",FALSE,,"a",5,36,64,3334517,136829,1462733,63585,"0.8","10.7","Welbeck",241,928,6,2,4,13,0,0,0,1,0,0,13,235,"278.6","146.6","345.0","77.0",11,"5.11","0.34","5.45","17.65",25,5,82,3,10,5,16,4,,"",1,"",3,"",0.5,0,0.03,0.53,1.71,1.26,77,22,32,8,12,5,17,4,1.07,0.39
100,100,467779,0,0,-2,2,0,3,"0.7","-0.3",0,"Mats","0.7",149,FALSE,"","2024-08-29T09:30:04.701478Z",48,"467779.jpg","1.7","Wieffer","0.1",FALSE,,"a",5,36,12,11615,86,15443,184,"0.1","2.5","Wieffer",152,233,0,1,1,7,0,0,0,0,0,0,0,40,"64.2","53.8","25.0","14.2",2,"0.17","0.11","0.28","6.29",275,126,217,135,249,140,279,137,,"",,"",,"",0.07,0,0.04,0.11,2.43,2.7,322,212,292,140,271,121,488,182,0.77,0.39
100,100,513433,0,0,-1,1,0,3,"1.0","0.0",1,"Brajan","1.0",595,FALSE,"","2024-08-30T04:00:05.748621Z",54,"513433.jpg","1.0","Gruda","0.0",FALSE,,"a",5,36,4,905,70,3242,67,"0.2","0.7","Gruda",80,59,0,0,0,2,0,0,0,0,0,0,0,10,"13.4","22.4","12.0","4.7",0,"0.00","0.03","0.03","1.23",377,180,292,167,307,171,361,178,,"",,"",,"",0,0,0.05,0.05,1.88,3.05,144,85,263,124,410,204,592,253,0,0
75,75,509416,0,0,0,0,0,3,"1.0","0.2",0,"Yasin","1.3",600,FALSE,"Ankle injury - 75% chance of playing","2024-11-21T08:30:09.565271Z",50,"509416.jpg","1.6","Ayari","0.0",FALSE,,"d",5,36,14,3107,268,2689,130,"0.3","2.8","Ayari",206,489,0,0,2,6,0,0,0,2,0,0,0,72,"90.0","146.2","77.0","31.5",5,"0.61","0.80","1.41","9.20",230,99,84,64,143,90,155,87,3,"",,"",,"",0.11,0,0.15,0.26,1.69,1.1,232,148,217,99,294,137,564,230,0.92,0.37
0,0,513834,0,0,0,0,0,3,"0.0","0.0",0,"Andrew","0.0",601,FALSE,"Loaned to Stoke City","2024-08-20T12:19:09.002604Z",50,"513834.jpg","0.0","Moran","0.0",FALSE,,"u",5,36,0,24,0,497,2,"0.0","0.0","Moran",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",656,298,654,299,651,297,657,299,,"",,"",,"",0,0,0,0,0,0,233,149,633,280,656,299,662,297,0,0
0,0,472739,0,0,0,0,0,1,"0.0","0.0",0,"Carl","0.0",615,FALSE,"Loaned to Hull City","2024-08-31T06:28:38.039682Z",40,"472739.jpg","0.0","Rushworth","0.1",FALSE,,"u",5,36,0,6698,0,6425,82,"0.0","0.0","Rushworth",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",494,56,480,39,442,30,497,56,,"",,"",,"",0,0,0,0,0,0,637,67,413,49,498,56,505,65,0,0
100,100,463067,0,0,1,-1,1,3,"3.0","2.0",2,"Georginio","3.0",618,FALSE,"","2024-10-12T11:00:07.563830Z",56,"463067.jpg","4.0","Rutter","1.5",FALSE,,"a",5,36,40,214523,13055,65196,12877,"0.5","7.1","Georginio",73,603,2,3,3,11,0,0,0,1,0,0,1,102,"136.8","135.0","172.0","43.4",8,"1.95","0.94","2.89","14.23",164,61,95,71,56,34,86,52,,"",,"",,"",0.29,0,0.14,0.43,2.12,1.64,109,67,99,40,53,22,170,50,1.19,0.45
25,100,231416,0,0,0,0,0,2,"1.0","3.0",0,"Ferdi","4.0",628,FALSE,"Toe Injury - 25% chance of playing","2024-11-10T01:30:09.967684Z",45,"231416.jpg","3.2","Kadioglu","0.5",FALSE,,"d",5,36,19,72280,8283,26382,6054,"0.9","4.2","F.Kadıoğlu",219,385,1,0,2,8,0,0,0,1,0,0,0,59,"116.4","83.7","40.0","24.0",5,"0.44","0.31","0.75","9.44",188,75,159,37,216,57,207,61,,"",,"",,"",0.1,0,0.07,0.17,2.21,1.87,382,69,49,14,98,25,259,95,1.17,0.47
100,75,219249,0,0,0,0,0,3,"2.7","1.3",8,"Matt","2.7",629,FALSE,"","2024-08-28T16:30:04.729425Z",55,"219249.jpg","8.0","O'Riley","0.1",FALSE,,"a",5,36,8,7336,6333,940,317,"0.5","1.5","O'Riley",58,33,1,0,0,0,0,0,0,0,0,0,2,29,"35.6","0.4","19.0","5.5",0,"0.52","0.01","0.53","0.27",327,151,411,219,279,156,347,172,,"",,"",,"",1.42,0,0.03,1.45,0.74,0,117,72,130,52,2,2,485,181,0,0
,,447720,0,0,0,0,0,2,"0.0","-1.0",0,"Imari","0.0",663,FALSE,"",,40,"447720.jpg","0.0","Samuels","0.0",FALSE,,"a",5,36,0,3297,225,1623,171,"0.0","0.0","Samuels",241,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",486,171,472,170,434,153,489,171,,"",,"",,"",0,0,0,0,0,0,628,183,404,145,490,167,556,192,0,0
,,565858,-1,1,-1,1,0,1,"0.0","-1.0",0,"Killian","0.0",668,FALSE,"",,39,"565858.jpg","0.0","Cahill","0.3",FALSE,,"a",5,36,0,22807,21299,2354,1538,"0.0","0.0","Cahill",104,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",449,30,432,11,392,2,452,30,,"",,"",,"",0,0,0,0,0,0,677,72,364,22,454,30,326,46,0,0
0,0,532605,0,0,0,0,0,3,"0.0","0.0",0,"Andrey","0.0",150,FALSE,"Has joined Strasbourg on a season-long loan","2024-08-05T10:16:34.176364Z",45,"532605.jpg","0.0","Nascimento dos Santos","0.0",FALSE,,"u",6,8,0,0,0,568,2,"0.0","0.0","Andrey Santos",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",604,264,603,269,585,260,607,267,,"",,"",,"",0,0,0,0,0,0,449,277,557,226,610,270,660,295,0,0
0,0,518620,0,0,0,0,0,3,"0.0","0.0",0,"Ângelo Gabriel","0.0",151,FALSE,"Transferred to Al-Nassr","2024-09-05T10:38:18.297070Z",45,"518620.jpg","0.0","Borges Damaceno","0.2",FALSE,,"u",6,8,0,5940,0,26032,375,"0.0","0.0","Ângelo",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",597,258,596,263,578,254,600,261,,"",,"",,"",0,0,0,0,0,0,441,271,549,220,603,264,404,142,0,0
,,242880,0,0,-2,2,0,2,"0.5","-0.5",0,"Benoît","0.0",153,FALSE,"",,43,"242880.jpg","1.0","Badiashile","0.1",FALSE,,"a",6,8,1,5881,170,11915,264,"0.0","0.2","B.Badiashile",73,37,0,0,0,0,0,0,0,0,0,0,0,11,"8.2","0.9","0.0","0.9",0,"0.00","0.00","0.00","0.09",400,139,402,141,492,193,427,144,,"",,"",,"",0,0,0,0,0.22,0,559,141,465,189,360,128,431,157,0,0
,,482158,0,0,0,0,0,1,"0.5","-0.5",0,"Lucas","0.0",154,FALSE,"",,40,"482158.jpg","0.0","Bergström","0.3",FALSE,,"a",6,8,0,12345,111,12998,475,"0.0","0.0","Bergström",72,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",495,57,481,40,443,31,498,57,,"",,"",,"",0,0,0,0,0,0,639,68,414,50,499,57,332,48,0,0
,,122074,0,0,0,0,0,1,"0.5","-0.5",0,"Marcus","0.0",155,FALSE,"",,40,"122074.jpg","0.0","Bettinelli","0.3",FALSE,,"a",6,8,0,8470,93,12813,446,"0.0","0.0","Bettinelli",241,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",458,37,443,19,404,10,461,37,,"",,"",,"",0,0,0,0,0,0,593,47,375,29,464,37,293,43,0,0
,,486672,0,0,-1,1,0,3,"4.8","3.8",2,"Moisés","4.3",157,FALSE,"",,49,"486672.jpg","3.2","Caicedo Corozo","1.5",FALSE,,"a",6,8,35,165917,17980,96270,6354,"0.9","7.1","Caicedo",62,975,1,2,2,13,0,0,0,2,0,0,2,210,"251.0","167.5","38.0","45.7",11,"0.26","1.21","1.47","14.43",42,12,61,49,219,124,75,45,,"",,"",,"",0.02,0,0.11,0.13,1.33,1.2,282,185,39,14,101,42,171,51,1.02,0.18
,,505187,0,0,-1,1,0,3,"0.5","-0.5",0,"Cesare","0.0",158,FALSE,"",,44,"505187.jpg","0.0","Casadei","0.1",FALSE,,"a",6,8,0,15379,1186,17260,708,"0.0","0.0","Casadei",106,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",547,223,544,228,520,217,550,226,,"",,"",,"",0,0,0,0,0,0,522,302,493,180,553,229,416,150,0,0
,,172850,0,0,-3,3,0,2,"0.5","-0.5",0,"Ben","0.0",160,FALSE,"",,47,"172850.jpg","0.0","Chilwell","0.5",FALSE,,"a",6,8,0,23350,1009,73019,1264,"0.0","0.0","Chilwell",241,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",625,221,623,221,609,218,627,221,,"",,"",,"",0,0,0,0,0,0,334,43,580,216,630,220,255,93,0,0
100,100,478912,0,0,-2,2,0,3,"0.5","-0.5",0,"Carney","0.0",161,FALSE,"","2024-10-04T12:30:06.437566Z",48,"478912.jpg","0.0","Chukwuemeka","0.0",FALSE,,"a",6,8,0,3660,74,6501,126,"0.0","0.0","Chukwuemeka",241,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",633,284,630,286,619,281,634,285,,"",,"",,"",0,0,0,0,0,0,324,214,597,254,636,286,517,200,0,0
75,,460028,-1,1,0,0,0,2,"1.7","1.2",1,"Levi","1.7",162,FALSE,"Knock - 75% chance of playing","2024-11-12T14:30:07.619476Z",45,"460028.jpg","2.2","Colwill","3.0",FALSE,,"d",6,8,24,479758,19476,266747,13299,"0.4","5.3","Colwill",241,990,0,0,2,13,0,0,0,3,0,0,1,120,"198.2","50.5","42.0","29.1",11,"0.19","0.79","0.98","14.29",79,25,223,60,211,55,177,48,,"",,"",,"",0.02,0,0.07,0.09,1.3,1.18,402,79,179,54,198,65,108,43,1,0.18
100,100,179268,0,0,0,0,0,2,"1.5","0.5",1,"Marc","1.0",163,FALSE,"","2024-10-06T22:00:07.319833Z",50,"179268.jpg","1.8","Cucurella Saseta","4.1",FALSE,,"a",6,8,18,326712,15501,588084,9041,"0.2","3.6","Cucurella",200,737,0,0,2,9,0,0,0,6,0,0,0,104,"119.0","49.9","18.0","18.7",8,"0.04","0.67","0.71","9.54",185,73,225,61,284,88,245,81,,"",,"",,"",0,0,0.08,0.08,1.16,1.1,196,21,255,85,260,86,81,30,0.98,0.24
0,0,520295,0,0,-1,1,0,4,"0.0","0.0",0,"David Datro","0.0",164,FALSE,"Transferred to AEK Athens","2024-09-11T14:26:52.770225Z",54,"520295.jpg","0.0","Fofana","0.1",FALSE,,"u",6,8,0,4727,0,14555,97,"0.0","0.0","D.D.Fofana",54,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",668,69,667,69,664,69,668,69,,"",,"",,"",0,0,0,0,0,0,145,42,651,68,667,69,487,64,0,0
,,617054,0,0,0,0,0,4,"0.5","-0.5",0,"Deivid Washington","0.0",165,FALSE,"",,50,"617054.jpg","0.0","de Souza Eugênio","0.1",FALSE,,"a",6,8,0,12124,277,14690,510,"0.0","0.0","Deivid",30,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",660,67,659,67,655,67,661,67,,"",,"",,"",0,0,0,0,0,0,243,54,637,66,660,67,411,58,0,0
,,215413,0,0,-4,4,0,3,"0.5","-0.5",0,"Kiernan","0.0",166,FALSE,"",,56,"215413.jpg","1.0","Dewsbury-Hall","0.1",FALSE,,"a",6,8,3,5327,135,22865,279,"0.0","0.5","Dewsbury-Hall",241,44,0,0,0,1,0,0,0,0,0,0,0,9,"7.4","12.4","0.0","2.0",0,"0.00","0.03","0.03","0.34",405,197,327,188,668,303,403,201,,"",,"",,"",0,0,0.06,0.06,0.7,2.05,105,66,655,293,413,206,421,152,0,0
,,220362,0,0,-2,2,0,2,"0.5","-0.5",0,"Axel","0.0",167,FALSE,"",,43,"220362.jpg","3.5","Disasi","0.3",FALSE,,"a",6,8,7,22411,689,43001,975,"0.0","1.6","Disasi",73,94,0,0,1,0,0,0,0,0,0,0,0,29,"13.0","1.5","0.0","1.5",1,"0.00","0.00","0.00","1.90",378,135,396,137,490,191,415,139,,"",,"",,"",0,0,0,0,1.82,0,554,136,463,187,72,14,320,117,0.96,0.96
,,448047,0,0,-2,2,0,3,"2.5","1.5",4,"Enzo","2.0",168,FALSE,"",,48,"448047.jpg","1.9","Fernández","1.1",FALSE,,"a",6,8,19,128617,3189,189769,3507,"0.4","4.0","Enzo",10,607,0,1,1,8,0,0,0,1,0,0,0,112,"114.0","186.3","58.0","35.9",6,"0.48","0.72","1.20","6.09",192,74,55,46,177,107,123,75,3,"",,"",4,"",0.07,0,0.11,0.18,0.9,1.19,320,211,156,67,242,107,192,58,0.89,0.15
0,0,232787,0,0,-1,1,0,3,"0.0","0.0",0,"Conor","0.0",169,FALSE,"Transferred to Atletico Madrid","2024-08-22T11:20:34.236891Z",59,"232787.jpg","0.0","Gallagher","0.2",FALSE,,"u",6,8,0,1567,0,71428,129,"0.0","0.0","Gallagher",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",670,305,670,305,669,304,670,305,,"",,"",,"",0,0,0,0,0,0,85,54,658,295,669,305,405,143,0,0
0,0,514280,0,0,0,0,0,2,"0.0","0.0",0,"Alfie","0.0",170,FALSE,"Has joined Sheffield United on a season-long","2024-08-09T11:15:16.064928Z",40,"514280.jpg","0.0","Gilchrist","0.0",FALSE,,"u",6,8,0,0,0,6355,88,"0.0","0.0","Gilchrist",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",502,179,488,178,451,162,505,179,,"",,"",,"",0,0,0,0,0,0,647,194,422,155,507,176,538,190,0,0
75,100,482609,0,0,-1,1,0,2,"1.4","0.8",2,"Malo","1.3",171,FALSE,"Knock - 75% chance of playing","2024-11-13T09:30:07.704412Z",49,"482609.jpg","1.2","Gusto","1.6",FALSE,,"d",6,8,11,158737,7787,323844,6293,"0.3","2.2","Gusto",73,726,0,0,0,12,0,0,0,2,0,0,0,55,"105.4","106.2","74.0","28.6",9,"0.92","0.38","1.30","10.31",205,82,130,27,149,28,181,50,,"",,"",,"",0.11,0,0.05,0.16,1.28,1.49,281,30,214,68,332,110,163,62,1.12,0
100,100,225796,0,0,-1,1,0,2,"2.2","1.2",1,"Reece","1.7",172,FALSE,"","2024-07-17T13:30:05.006577Z",49,"225796.jpg","1.2","James","0.7",FALSE,,"a",6,8,5,75344,13473,22058,4687,"0.3","1.0","James",241,240,0,0,0,4,0,0,0,0,0,0,0,32,"38.2","23.2","0.0","6.2",3,"0.00","0.22","0.22","5.78",325,116,290,90,628,222,342,113,2,"",2,"",,"",0,0,0.08,0.08,2.17,1.5,267,27,184,55,331,109,232,86,1.12,0
0,0,549068,0,0,-1,1,0,3,"0.0","0.0",0,"Omari","0.0",173,FALSE,"Hamstring injury - Unknown return date","2024-09-08T23:00:06.668188Z",44,"549068.jpg","0.0","Kellyman","0.0",FALSE,,"i",6,8,0,2738,51,4788,125,"0.0","0.0","Kellyman",241,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",549,225,546,230,522,219,552,228,,"",,"",,"",0,0,0,0,0,0,526,305,495,182,555,231,567,232,0,0
75,100,514356,0,0,0,0,0,3,"2.4","2.2",2,"Roméo","2.7",174,FALSE,"Knock - 75% chance of playing","2024-11-10T23:00:07.545590Z",45,"514356.jpg","2.0","Lavia","0.9",FALSE,,"d",6,8,12,148394,5649,165646,5658,"0.6","2.7","Lavia",21,336,0,1,0,6,0,0,0,1,0,0,0,69,"73.6","71.2","0.0","14.6",5,"0.00","0.26","0.26","6.95",253,111,172,110,575,251,276,135,,"",,"",,"",0,0,0.07,0.07,1.86,1.61,438,268,121,47,228,99,208,65,1.34,0
0,0,66749,0,0,-2,2,0,4,"0.0","0.0",0,"Romelu","0.0",175,FALSE,"Permanent transfer to Napoli","2024-08-30T10:21:53.872158Z",63,"66749.jpg","0.0","Lukaku Bolingoli","0.2",FALSE,,"u",6,8,0,8049,0,60128,165,"0.0","0.0","Lukaku",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",672,72,672,72,671,72,672,72,,"",,"",,"",0,0,0,0,0,0,52,20,663,71,671,72,364,56,0,0
0,0,204727,0,0,0,0,0,2,"0.0","0.0",0,"Malang","0.0",176,FALSE,"Permanent move to RC Lens","2024-07-29T09:46:25.583703Z",45,"204727.jpg","0.0","Sarr","0.0",FALSE,,"u",6,8,0,0,0,434,0,"0.0","0.0","M.Sarr",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",560,215,558,215,537,210,563,215,,"",,"",,"",0,0,0,0,0,0,372,61,507,209,566,213,664,222,0,0
,,248857,0,0,-1,1,1,3,"1.8","0.8",1,"Noni","1.3",177,FALSE,"",,64,"248857.jpg","4.9","Madueke","7.2",FALSE,,"a",6,8,49,1992663,28466,1438819,53263,"0.2","7.7","Madueke",241,754,4,1,2,11,0,0,0,2,0,0,6,173,"198.2","151.7","352.0","70.3",10,"2.79","0.96","3.75","12.04",81,27,76,58,9,5,28,21,,"",,"",3,"",0.33,0,0.11,0.44,1.44,1.31,49,29,230,111,22,11,61,16,1.19,0.24
,,499309,0,0,-2,2,0,4,"0.5","-0.5",0,"Marc","0.0",178,FALSE,"",,48,"499309.jpg","1.0","Guiu Paz","0.6",FALSE,,"a",6,8,1,69050,1924,100377,2377,"0.0","0.2","Marc Guiu",200,24,0,0,0,1,0,0,0,0,0,0,0,2,"0.0","0.3","0.0","0.0",0,"0.00","0.00","0.00","0.11",634,58,414,43,621,58,635,58,,"",,"",,"",0,0,0,0,0.41,3.75,327,62,598,57,393,37,246,42,0,0
,,465920,0,0,-3,3,0,3,"1.5","0.5",1,"Mykhailo","1.0",179,FALSE,"",,62,"465920.jpg","1.0","Mudryk","0.2",FALSE,,"a",6,8,7,15883,634,34753,680,"0.2","1.1","Mudryk",225,145,0,0,0,2,0,0,0,0,0,0,0,26,"23.2","31.5","31.0","8.5",1,"0.24","0.66","0.90","3.28",344,162,266,158,235,133,320,158,,"",,"",,"",0.15,0,0.41,0.56,2.04,1.24,72,48,270,128,415,208,337,115,0.62,0
,,517052,0,0,4,-4,2,4,"4.5","3.5",2,"Nicolas","4.0",180,FALSE,"",,79,"517052.jpg","5.5","Jackson","17.1",FALSE,,"a",6,8,60,2737901,116556,1263970,73416,"0.5","7.6","N.Jackson",189,865,6,3,2,12,0,0,0,4,0,0,9,252,"298.2","151.8","387.0","83.7",11,"5.95","0.38","6.33","13.41",18,4,75,2,6,2,11,3,,"",,"",,"",0.62,0,0.04,0.66,1.4,1.25,14,5,58,14,14,6,21,6,1.14,0.21
,,213198,0,0,-6,6,0,3,"0.8","-0.2",1,"Christopher","0.3",181,FALSE,"",,59,"213198.jpg","1.5","Nkunku","2.5",FALSE,,"a",6,8,15,232556,2687,1527742,7974,"0.1","2.5","Nkunku",73,153,1,0,0,1,0,0,0,1,0,0,1,55,"62.8","51.4","112.0","22.4",1,"2.02","0.19","2.21","2.33",277,127,220,136,97,62,219,112,,"",,"",2,"",1.19,0,0.11,1.3,1.37,0.59,84,53,353,172,305,145,118,37,0.59,0
75,75,244851,-1,1,4,-4,3,3,"4.1","3.4",2,"Cole","5.0",182,TRUE,"Knock - 75% chance of playing","2024-11-12T14:30:07.656076Z",109,"244851.jpg","7.6","Palmer","53.6",FALSE,,"d",6,8,84,3902150,154346,2119240,108327,"0.5","7.7","Palmer",241,955,7,5,2,13,0,0,0,3,0,0,13,356,"429.6","386.3","281.0","109.8",11,"4.88","2.51","7.39","14.15",4,2,4,4,22,11,4,3,1,"",1,"",1,"",0.46,0,0.24,0.7,1.33,1.23,3,2,25,12,3,3,2,1,1.04,0.19
0,0,457569,0,0,-1,1,0,1,"0.0","0.0",0,"Đorđe","0.0",183,FALSE,"Loaned to Strasbourg","2024-08-31T06:26:07.653045Z",44,"457569.jpg","0.0","Petrović","0.2",FALSE,,"u",6,8,0,2753,0,59495,428,"0.0","0.0","Petrović",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",545,69,542,61,518,53,548,69,,"",,"",,"",0,0,0,0,0,0,518,28,491,68,551,69,362,51,0,0
,,551230,0,0,0,0,0,3,"0.5","-0.5",0,"Renato","0.0",184,FALSE,"",,45,"551230.jpg","1.0","Palma Veiga","0.2",FALSE,,"a",6,8,5,37659,328,29621,1113,"0.0","1.1","Renato Veiga",173,164,0,0,1,1,0,0,0,2,0,0,0,17,"30.4","8.4","19.0","5.8",1,"0.16","0.15","0.31","2.29",334,155,351,196,274,152,345,170,,"",,"",,"",0.09,0,0.08,0.17,1.26,0.55,456,283,564,232,376,178,348,121,0.55,0.55
,,215059,0,0,2,-2,2,1,"2.5","1.5",2,"Robert","2.0",185,FALSE,"",,47,"215059.jpg","4.0","Sánchez","11.6",FALSE,,"a",6,8,44,1420343,47346,545195,22584,"0.4","9.4","Sánchez",200,990,0,0,2,13,0,1,0,2,0,42,5,171,"326.0","0.0","0.0","32.5",11,"0.00","0.01","0.01","14.55",11,3,624,66,610,62,148,3,,"",,"",,"",0,3.82,0,0,1.32,1.18,336,12,154,16,52,7,36,6,1,0.18
,,109646,0,0,-2,2,0,2,"0.5","-0.5",0,"Tosin","0.0",187,FALSE,"",,43,"109646.jpg","1.8","Adarabioyo","0.2",FALSE,,"a",6,8,7,14566,195,26079,615,"0.0","1.6","Tosin",241,171,0,0,1,2,0,0,0,1,0,0,0,42,"38.6","11.7","0.0","5.1",2,"0.00","0.00","0.00","3.16",323,114,330,105,483,186,353,115,,"",,"",,"",0,0,0,0,1.66,1.05,540,124,455,180,251,79,396,143,1.05,0.53
75,100,444463,0,0,0,0,0,2,"1.7","1.2",2,"Wesley","1.7",189,FALSE,"Knee injury - 75% chance of playing","2024-11-11T16:00:06.375382Z",45,"444463.jpg","1.6","Fofana","0.5",FALSE,,"d",6,8,16,75120,2462,72916,2063,"0.4","3.6","W.Fofana",73,866,0,0,1,11,0,0,0,6,0,0,2,107,"173.6","64.7","29.0","26.8",10,"0.40","0.12","0.52","12.26",112,43,189,49,238,67,194,57,,"",,"",,"",0.04,0,0.01,0.05,1.27,1.14,396,77,178,53,285,95,262,96,1.04,0.1
75,75,209243,0,0,-2,2,0,3,"0.4","-0.4",0,"Jadon","0.0",386,FALSE,"Knock - 75% chance of playing","2024-11-07T09:00:07.812014Z",63,"209243.jpg","3.8","Sancho","1.0",FALSE,,"d",6,8,19,328505,324,290075,13706,"0.0","3.0","Sancho",241,305,0,4,0,4,0,0,0,1,0,0,1,79,"75.8","116.5","41.0","23.3",4,"0.08","0.86","0.94","3.60",250,109,119,88,215,123,213,108,,"",,"",,"",0.02,0,0.25,0.27,1.06,1.18,57,35,665,300,62,25,203,62,1.18,0
,,247632,0,0,-3,3,0,3,"5.8","4.8",9,"Pedro","5.3",560,FALSE,"",,62,"247632.jpg","2.3","Lomba Neto","1.2",FALSE,,"a",6,8,25,129662,48486,136974,3629,"0.9","4.0","Neto",173,555,1,2,0,6,0,0,0,4,0,0,4,115,"142.4","212.5","101.0","45.6",5,"0.43","1.30","1.73","8.19",154,55,37,32,110,71,76,46,4,"",,"",,"",0.07,0,0.21,0.28,1.33,0.97,70,46,20,9,193,82,190,56,0.81,0
0,0,488464,0,0,0,0,0,2,"0.0","0.0",0,"Caleb","0.0",575,FALSE,"Loaned to Strasbourg","2024-08-13T07:07:06.645739Z",40,"488464.jpg","0.0","Wiley","0.0",FALSE,,"u",6,8,0,0,0,3306,44,"0.0","0.0","Wiley",,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",496,175,482,174,444,157,499,175,,"",,"",,"",0,0,0,0,0,0,640,189,415,150,500,171,591,199,0,0
75,,508479,0,0,-3,3,0,1,"0.4","-0.5",0,"Filip","0.0",581,FALSE,"Knock - 75% chance of playing","2024-11-21T08:30:09.544798Z",42,"508479.jpg","0.0","Jørgensen","0.2",FALSE,,"d",6,8,0,7136,345,25042,454,"0.0","0.0","Jørgensen",58,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",522,62,508,45,476,36,525,62,,"",,"",,"",0,0,0,0,0,0,577,39,446,55,528,62,371,54,0,0
,,428399,0,0,-4,4,0,3,"0.5","-0.5",0,"João","0.0",621,FALSE,"",,61,"428399.jpg","1.8","Félix Sequeira","0.5",FALSE,,"a",6,8,9,147941,1585,138776,2125,"0.0","1.5","João Félix",173,118,1,0,0,0,0,0,0,1,0,0,0,33,"45.0","19.9","57.0","12.1",0,"0.47","0.11","0.58","1.18",307,145,300,172,183,110,292,143,,"",,"",,"",0.36,0,0.08,0.44,0.9,0,76,50,661,297,263,117,258,83,0,0
